,BCE_scratch,IoU_scratch,ROC-AUC_scratch,Dice_scratch
0,0.7675596849437345,0.7773754385964913,0.5016057912580124,0.8043339708279463
1,0.6492252211760858,0.8291943965517241,0.5031627445300513,0.8560438667810158
2,0.6970849477837229,0.8066465811965814,0.5034871919671158,0.8335982463649844
3,0.5124065095026579,0.8234330357142857,0.502944106458848,0.8516099658595795
4,0.5681462803402463,0.7475742726409798,0.5014053881606694,0.7740906272404984
5,0.5153579016094623,0.778471014938983,0.5021848030872619,0.8115773074649225
6,0.48615043054697876,0.7732411328423642,0.5011479218336192,0.8010204073234798
7,0.8781396069874366,0.7520541666666666,0.5015452624341241,0.7817201883376962
8,0.6447082995795287,0.8560423076923078,0.49983948416803536,0.8807607036243785
9,0.7667946225812292,0.7591041666666665,0.5007461511180306,0.7872295367950645
10,0.944419206896176,0.818835,0.49953148119547097,0.8435411724990023
11,0.6588131128898207,0.8288764150943396,0.5011855784741671,0.8535551982097963
12,0.5690258628080699,0.8130702989025036,0.49993071001943784,0.8487157965264271
13,0.7046055688426412,0.8240287991103562,0.499951421348822,0.8531576374126143
14,0.7227129664110101,0.4121534847889624,0.5019544303803521,0.4637335718625601
15,1.3344220933421984,0.8032703539823008,0.5013032792076302,0.8305201195905704
16,0.6193879580703275,0.743736169040107,0.5023230334308075,0.7739960953400596
17,0.6760638923994426,0.8058931034482759,0.5007443403392555,0.8392294400534254
18,0.8892333438587293,0.834136403508772,0.49975273751263977,0.8600894626650198
19,0.5448593815334705,0.7690421473776476,0.5022187066734365,0.7990726792958137
20,0.6646398563451809,0.7592889935392237,0.5016376262030493,0.8034726978806612
21,0.7519772049100673,0.8070180327868853,0.50212926647469,0.8349117623961287
22,0.5114821918822569,0.8151192807257244,0.5031734976931389,0.8483502242882359
23,0.6320630362910084,0.6893322571484936,0.5053500408326294,0.7453106370842583
24,0.5529845373901895,0.8496707317073171,0.5017663762361636,0.8761407531742672
25,0.5883195659677897,0.8004065343328426,0.49866458077236053,0.8373967010858785
