,BCE_scartch,IoU_scartch,ROC-AUC_scratch,Dice_scratch
_exp1_0,0.8027984142303467,0.0007251617487348703,0.6359277633773155,0.001448995250264131
_exp1_1,0.71321941614151,0.008807635415397197,0.8976714077511829,0.017459845443874345
_exp1_2,1.190470850467682,0.014629887012435372,0.8290163451655552,0.028821822481493387
_exp1_3,1.1460811972618103,0.01731327224779692,0.9441580608458076,0.03403501220803925
_exp1_4,2.6519872665405275,0.004108746697095159,0.627628354768392,0.008172771475149459
_exp1_5,1.0075055837631226,0.015022089024817557,0.9032766154132889,0.029596438545947856
_exp1_6,0.7893062472343445,0.005430379228431016,0.8139818187782544,0.010800700688427525
_exp1_7,0.7952184319496155,0.002811494200551059,0.8741893079169764,0.005606760226276859
_exp1_8,0.8822074711322785,0.0017498010043001493,0.7464093928686392,0.0034931984533553605
_exp1_9,2.5622745990753173,0.00018256756540391365,0.3991956966061697,0.00036498691993673414
_exp1_10,1.8978915452957152,0.0008191009635064014,0.46404125255125883,0.0016360788380882674
_exp1_11,2.602498722076416,0.002946506411992184,0.5154766853874528,0.00587395781474513
_exp1_12,3.3137979030609133,3.9785160135269546e-05,0.29833177059257154,7.953867568104991e-05
_exp1_13,1.2609671354293823,0.0029050532605122787,0.6256641473853884,0.005791909387545961
_exp1_14,1.0792082309722901,0.0015574569683045332,0.6346561261645409,0.0031094211872200756
_exp1_15,0.6260556936264038,0.006629635555812428,0.9539987014487405,0.013169750514268556
_exp1_16,0.5862093001604081,0.011614616953110536,0.9182399832926078,0.022943650903133734
_exp1_17,1.046677166223526,0.00018327841268579395,0.4680019093654435,0.00036643351453248497
_exp1_18,0.731035852432251,0.0038544025083778397,0.8406810589439336,0.007678449045854428
_exp1_19,0.7880126416683197,0.005584653778076142,0.991973692948109,0.01110663372159876
_exp1_20,1.667475426197052,0.004915534243193144,0.6057790774366059,0.009779629589894612
_exp1_21,0.7359388172626495,0.01239343606245373,0.94489580790807,0.024479537558984642
_exp1_22,2.266653597354889,0.010991967601111591,0.7438768753002092,0.02171859029757489
_exp1_23,1.356265127658844,0.009357084611983825,0.7755596795961373,0.018532462039750515
_exp1_24,0.5021615773439407,0.016846389883859586,0.9750124189494122,0.033119325497068725
_exp1_25,2.403887939453125,0.013796229331342155,0.8287191573719082,0.027170945487138987
